iter	Passed	Remaining
766	3305	1004
767	3307	999
768	3309	994
769	3315	990
770	3318	985
771	3320	980
772	3322	975
773	3324	970
774	3326	965
775	3332	961
776	3334	957
777	3336	952
778	3338	947
779	3340	942
780	3342	937
781	3344	932
782	3348	928
783	3350	923
784	3352	918
785	3354	913
786	3356	908
787	3358	903
788	3360	898
789	3367	895
790	3369	890
791	3370	885
792	3372	880
793	3374	875
794	3376	870
795	3382	866
796	3385	862
797	3386	857
798	3388	852
799	3389	847
800	3391	842
801	3393	837
802	3400	834
803	3402	829
804	3403	824
805	3405	819
806	3407	814
807	3409	810
808	3410	805
809	3420	802
810	3423	797
811	3438	796
812	3440	791
813	3442	786
814	3443	781
815	3451	778
816	3453	773
817	3456	769
818	3458	764
819	3459	759
820	3461	754
821	3469	751
822	3471	746
823	3472	741
824	3474	736
825	3476	732
826	3478	727
827	3484	723
828	3486	719
829	3488	714
830	3489	709
831	3491	704
832	3492	700
833	3494	695
834	3502	692
835	3504	687
836	3506	682
837	3508	678
838	3509	673
839	3511	668
840	3521	665
841	3523	661
842	3525	656
843	3529	652
844	3534	648
845	3536	643
846	3538	639
847	3540	634
848	3542	629
849	3543	625
850	3546	620
851	3554	617
852	3555	612
853	3558	608
854	3559	603
855	3561	599
856	3563	594
857	3566	590
858	3568	585
859	3571	581
860	3575	577
861	3578	572
862	3580	568
863	3582	563
864	3584	559
865	3586	554
866	3588	550
867	3595	546
868	3597	542
869	3599	537
870	3601	533
871	3603	528
872	3605	524
873	3609	520
874	3612	516
875	3615	511
876	3617	507
877	3620	503
878	3622	498
879	3630	495
880	3632	490
881	3633	486
882	3635	481
883	3637	477
884	3638	472
885	3647	469
886	3649	464
887	3651	460
888	3654	456
889	3661	452
890	3663	448
891	3664	443
892	3666	439
893	3668	434
894	3670	430
895	3672	426
896	3678	422
897	3680	418
898	3682	413
899	3684	409
900	3685	405
901	3687	400
902	3689	396
903	3701	393
904	3705	388
905	3713	385
906	3715	380
907	3717	376
908	3718	372
909	3721	368
910	3723	363
911	3732	360
912	3734	355
913	3736	351
914	3738	347
915	3740	343
916	3744	338
917	3746	334
918	3750	330
919	3752	326
920	3754	322
921	3762	318
922	3764	314
923	3765	309
924	3767	305
925	3770	301
926	3771	297
927	3779	293
928	3781	289
929	3783	284
930	3784	280
931	3786	276
932	3788	272
933	3791	267
934	3793	263
935	3796	259
936	3798	255
937	3800	251
938	3806	247
939	3808	243
940	3810	238
941	3812	234
942	3814	230
943	3824	226
944	3826	222
945	3828	218
946	3831	214
947	3833	210
948	3839	206
949	3841	202
950	3843	198
951	3845	193
952	3847	189
953	3848	185
954	3850	181
955	3857	177
956	3860	173
957	3863	169
958	3865	165
959	3867	161
960	3872	157
961	3874	153
962	3876	148
963	3878	144
964	3879	140
965	3881	136
966	3883	132
967	3889	128
968	3892	124
969	3894	120
970	3897	116
971	3898	112
972	3900	108
973	3908	104
974	3910	100
975	3912	96
976	3913	92
977	3916	88
978	3918	84
979	3924	80
980	3926	76
981	3928	72
982	3930	67
983	3933	63
984	3942	60
985	3944	56
986	3947	51
987	3950	47
988	3959	44
989	3962	40
990	3965	36
991	3967	31
992	3974	28
993	3977	24
994	3980	20
995	3984	16
996	3990	12
997	3999	8
998	4009	4
999	4014	0
